Ano,rede,etapa,disciplina,descricao_padronizada
2019,MUNICIPAL,5º ANO EF,MATEMATICA,IDENTIFICAR INFORMACOES A PARTIR DE DADOS DISPOSTOS EM TABELAS
2024,MUNICIPAL,5º ANO EF,MATEMATICA,IDENTIFICAR DIFERENTES REPRESENTACOES DE UM MESMO NUMERO RACIONAL.
2023,MUNICIPAL,5º ANO EF,MATEMATICA,IDENTIFICAR DADOS APRESENTADOS POR MEIO DE GRAFICOS
2016,ESTADUAL,9º ANO EF,LINGUA PORTUGUESA,DISTINGUIR UM FATO DE UMA OPINIAO EM UM TEXTO
2023,MUNICIPAL,5º ANO EF,LINGUA PORTUGUESA,LOCALIZAR INFORMACOES EXPLICITAS EM UM TEXTO
2019,MUNICIPAL,5º ANO EF,MATEMATICA,UTILIZAR NUMEROS RACIONAIS EXPRESSOS NA FORMA DECIMAL ENVOLVENDO DIFERENTES SIGNIFICADOS DA ADICAO EOU SUBTRACAO NA RESOLUCAO DE PROBLEMAS
2024,MUNICIPAL,5º ANO EF,MATEMATICA,IDENTIFICAR DIFERENTES REPRESENTACOES DE UM MESMO NUMERO RACIONAL.
2016,MUNICIPAL,5º ANO EF,LINGUA PORTUGUESA,DISTINGUIR UM FATO DE UMA OPINIAO EM UM TEXTO
2016,MUNICIPAL,9º ANO EF,LINGUA PORTUGUESA,IDENTIFICAR O TEMA OU O SENTIDO GLOBAL DE UM TEXTO
2024,MUNICIPAL,9º ANO EF,MATEMATICA,"RESOLVER PROBLEMA COM NUMEROS RACIONAIS ENVOLVENDO AS OPERACOES (ADICAO, SUBTRACAO, MULTIPLICACAO, DIVISAO, POTENCIACAO)."
2019,MUNICIPAL,9º ANO EF,LINGUA PORTUGUESA,IDENTIFICAR O TEMA OU O SENTIDO GLOBAL DE UM TEXTO
2023,MUNICIPAL,5º ANO EF,MATEMATICA,UTILIZAR NUMEROS RACIONAIS EXPRESSOS NA FORMA DECIMAL ENVOLVENDO MULTIPLICACAO OU DIVISAO NA RESOLUCAO DE PROBLEMAS
2016,MUNICIPAL,9º ANO EF,LINGUA PORTUGUESA,INFERIR O SENTIDO DE UMA PALAVRA OU EXPRESSAO EM UM TEXTO
2024,ESTADUAL,5º ANO EF,MATEMATICA,LER INFORMACOES E DADOS APRESENTADOS EM GRAFICOS (PARTICULARMENTE EM GRAFICOS DE COLUNAS).
2019,MUNICIPAL,5º ANO EF,MATEMATICA,IDENTIFICAR INFORMACOES A PARTIR DE DADOS DISPOSTOS EM TABELAS
2016,MUNICIPAL,9º ANO EF,MATEMATICA,IDENTIFICAR INFORMACOES A PARTIR DE DADOS DISPOSTOS EM TABELAS
2019,MUNICIPAL,5º ANO EF,MATEMATICA,UTILIZAR NUMEROS RACIONAIS EXPRESSOS NA FORMA DECIMAL ENVOLVENDO DIFERENTES SIGNIFICADOS DA ADICAO EOU SUBTRACAO NA RESOLUCAO DE PROBLEMAS
2022,MUNICIPAL,5º ANO EF,LINGUA PORTUGUESA,INFERIR O SENTIDO DE UMA PALAVRA OU EXPRESSAO EM UM TEXTO
2016,MUNICIPAL,9º ANO EF,LINGUA PORTUGUESA,INFERIR INFORMACOES EM UM TEXTO
2022,MUNICIPAL,5º ANO EF,LINGUA PORTUGUESA,INFERIR O SENTIDO DE UMA PALAVRA OU EXPRESSAO EM UM TEXTO
2024,MUNICIPAL,5º ANO EF,MATEMATICA,IDENTIFICAR FRACAO COMO REPRESENTACAO QUE PODE ESTAR ASSOCIADA A DIFERENTES SIGNIFICADOS.
2024,ESTADUAL,9º ANO EF,MATEMATICA,"RESOLVER PROBLEMA COM NUMEROS NATURAIS, ENVOLVENDO DIFERENTES SIGNIFICADOS DAS OPERACOES (ADICAO, SUBTRACAO, MULTIPLICACAO, DIVISAO, POTENCIACAO)."
2019,ESTADUAL,9º ANO EF,MATEMATICA,UTILIZAR RELACOES DE PROPORCIONALIDADE ENTRE DUAS OU MAIS GRANDEZAS NA RESOLUCAO DE PROBLEMA
2019,MUNICIPAL,5º ANO EF,MATEMATICA,CORRESPONDER DIFERENTES REPRESENTACOES DE UM NUMERO RACIONAL
2024,ESTADUAL,5º ANO EF,LINGUA PORTUGUESA,DISTINGUIR UM FATO DA OPINIAO RELATIVA A ESSE FATO.
2024,MUNICIPAL,5º ANO EF,MATEMATICA,CALCULAR O RESULTADO DE UMA MULTIPLICACAO OU DIVISAO DE NUMEROS NATURAIS.
2016,MUNICIPAL,5º ANO EF,MATEMATICA,IDENTIFICAR DADOS APRESENTADOS POR MEIO DE GRAFICOS
2016,MUNICIPAL,5º ANO EF,LINGUA PORTUGUESA,INFERIR INFORMACOES EM UM TEXTO
2016,ESTADUAL,9º ANO EF,LINGUA PORTUGUESA,INFERIR INFORMACOES EM UM TEXTO
